metric,value
file,C:\Users\Pavlly\OneDrive\Desktop\urban-digital-twin-ui\models\traffic-model\data\raw\osm\map.osm
file_size_MB,11.86
format,OSM XML v0.6 (Overpass export)
crs,EPSG:4326
geometry_type,LineString
road_segments,10062
ways_skipped_unresolvable_nodes,-6489
total_xml_elements,"nodes=50758, ways=5205, relations=44"
bbox_min_lon_lat,"31.67808, 29.96547"
bbox_max_lon_lat,"31.84656, 30.10208"
duplicate_way_ids,6489
duplicate_geometries,1
attr_name,"present, missing=98.6%"
attr_name:en,"present, missing=98.6%"
attr_name:ar,"present, missing=98.6%"
attr_ref,"present, missing=99.8%"
attr_lanes,"present, missing=98.5%"
attr_maxspeed,ABSENT from data
attr_oneway,"present, missing=63.1%"
attr_bridge,"present, missing=99.8%"
attr_tunnel,"present, missing=99.9%"
attr_access,"present, missing=89.1%"
attr_service,"present, missing=98.3%"
attr_junction,"present, missing=97.3%"
attr_surface,"present, missing=96.9%"
attr_width,ABSENT from data
invalid_geometries,0
total_network_km,948.5
mean_segment_m,94.3
