model,split,MAE,RMSE,R2
mean_baseline,validation,1650.0552988372542,2960.152550913727,-4.3194345755281915e-05
mean_baseline,test,1686.5481397982423,3050.246090806557,-0.00012323350544640732
median_baseline,validation,1270.1616091965773,3172.3214586885824,-0.14853689473037268
median_baseline,test,1322.8516711911022,3275.490642738686,-0.1532845767906399
XGBoost,train,368.3717956542969,810.0715631967339,0.9267695546150208
XGBoost,validation,372.9576416015625,826.8402203569925,0.9219750165939331
XGBoost,test,392.4925537109375,870.7427863611618,0.9184988737106323
LinearRegression,validation,1649.9317626953125,2960.092903947442,-2.9802322387695312e-06
LinearRegression,test,1686.4249267578125,3050.1849124274418,-8.308887481689453e-05
RandomForest,validation,475.97924691998173,970.4878061391522,0.8925093376961306
RandomForest,test,492.4114711406422,1003.3830223753238,0.8917775766470073
