feature,importance
hour_cos,0.12674335196751835
gross_leasable_area_sqm,0.07785983458463175
per_capita_gla,0.07739521448331656
num_beds,0.06021172838632909
per_capita_gfa,0.059908785536130625
time_period_night,0.05566957295153375
gla_x_hour,0.04969787004778315
log1p_num_beds,0.04613461135979589
gross_floor_area_sqm,0.03908430906928169
temp_x_beds,0.0361518018564045
staff_count,0.03498395658622882
time_period_evening,0.026418012413654567
log1p_gross_floor_area_sqm,0.025472741464405965
log1p_gross_leasable_area_sqm,0.02295119677154765
hour,0.021011565001305105
time_period_morning,0.02016880789042916
visitor_capacity,0.018863135899517474
type_hospital_1,0.016363355619534056
gfa_x_hour,0.014872110392939394
time_period_afternoon,0.014314159296074566
is_peak_hour,0.013784978279158316
is_weekday_office_hour,0.012757694674173745
development_type_hospital,0.011954552629662014
is_peak_hour_morning,0.010043237740620391
hour_sin,0.009936262329232901
num_units,0.009668425460226449
num_residents,0.008478363617794022
temp_x_visitors,0.007875999231671097
is_peak_hour_evening,0.006751479223116472
type_hospital_0,0.005935783187152807
development_type_mall,0.004912449737474378
type_mall_1,0.003994968828402245
log1p_num_residents,0.003665108379472711
is_weekday_morning,0.0034176631439125763
temp_x_residents,0.002902982016534021
is_weekend,0.002885014867747153
type_mall_0,0.002345647646533772
num_students,0.0018292164526724037
type_x_is_weekend_mall_we1,0.001760347641674703
temp_x_students,0.0014552051522795872
zone_id_Z09,0.0013010810885868323
type_x_is_weekend_mall_we0,0.0012435841026403863
log1p_num_employees,0.0012031012710317119
num_employees,0.0011507650328978296
activity_x_cooling,0.001135816719336017
type_office_0,0.0011182198693514328
development_type_office,0.0009468799482864826
type_x_is_weekend_office_we1,0.0009017813269491536
week_of_year,0.0008661625682278327
type_residential_compound_0,0.0008656575099414612
floors,0.0008474319972155409
log1p_num_students,0.0008461894554233341
day_of_week,0.0008397915677520567
type_office_1,0.0008213920319659659
type_x_is_weekend_school_we0,0.0008017160549648271
cooling_degree,0.0007377005971082329
day_of_year,0.0007204908222693177
dow_sin,0.0006987335576210124
temp_x_employees,0.0006803594163640857
zone_id_Z16,0.0006668417116818696
month_cos,0.0006538144666048368
temperature_c,0.000609589236405869
type_residential_compound_1,0.0006064083794678658
type_x_hour_hospital_h5,0.0005918314871683864
month,0.0005879629549368418
zone_id_Z24,0.00042222488650177267
month_sin,0.00042045643862016286
type_x_hour_infrequent_sklearn,0.0003948134508239637
zone_id_Z15,0.00038997594503114056
development_type_residential_compound,0.000380204145279749
type_x_is_weekend_school_we1,0.000372162557869321
dow_cos,0.0003286527424569565
zone_id_Z17,0.0003175255267811976
zone_id_Z21,0.0002893904793710457
type_x_is_weekend_office_we0,0.00027282546101581274
zone_id_Z12,0.0002672056479356592
zone_id_Z19,0.00024189115412656125
zone_id_Z01,0.00023265414120166245
zone_id_Z22,0.00022685995146224904
zone_id_Z04,0.00021388620555087598
zone_id_Z02,0.00020659330733458967
type_school_0,0.00019765521400472505
type_x_hour_hospital_h4,0.0001645796473022291
