train_MAE,train_RMSE,train_R2,train_MAPE,train_sMAPE,model,split,inference_time_ms_per_sample,train_time,validation_MAE,validation_RMSE,validation_R2,validation_MAPE,validation_sMAPE,test_MAE,test_RMSE,test_R2,test_MAPE,test_sMAPE
6.3133,8.9262,0.0,527.54,96.85,mean_baseline,train,0.003213,0.732,,,,,,,,,,
,,,,,mean_baseline,validation,0.003677,0.732,7.4605,11.6934,-0.0199,431.07,94.09,,,,,
,,,,,mean_baseline,test,0.003707,0.732,,,,,,6.5733,9.4668,-0.0032,541.09,101.09
5.7984,9.5506,-0.1448,273.18,97.56,median_baseline,train,0.00321,0.707,,,,,,,,,,
,,,,,median_baseline,validation,0.003467,0.707,7.1371,12.624,-0.1887,224.29,94.44,,,,,
,,,,,median_baseline,test,0.003543,0.707,,,,,,5.4282,9.8751,-0.0916,270.86,91.01
2.6559,4.3246,0.7653,176.56,69.74,linear_regression,train,0.003327,1.176,,,,,,,,,,
,,,,,linear_regression,validation,0.003622,1.176,3.9743,6.2306,0.7104,172.35,72.63,,,,,
,,,,,linear_regression,test,0.002952,1.176,,,,,,3.079,4.81,0.741,198.67,77.84
2.655,4.3246,0.7653,176.41,69.74,ridge,train,0.00335,0.807,,,,,,,,,,
,,,,,ridge,validation,0.003719,0.807,3.974,6.2315,0.7104,172.41,72.66,,,,,
,,,,,ridge,test,0.003069,0.807,,,,,,3.0775,4.8105,0.741,198.6,77.84
2.6288,4.4163,0.7552,166.38,70.45,lasso,train,0.003477,28.168,,,,,,,,,,
,,,,,lasso,validation,0.00372,28.168,4.0708,6.4697,0.6878,176.28,73.62,,,,,
,,,,,lasso,test,0.00276,28.168,,,,,,3.105,4.9577,0.7249,206.09,82.0
2.6427,4.4354,0.7531,167.85,70.47,elasticnet,train,0.003422,41.987,,,,,,,,,,
,,,,,elasticnet,validation,0.003662,41.987,4.1042,6.5113,0.6838,181.07,73.69,,,,,
,,,,,elasticnet,test,0.002807,41.987,,,,,,3.1316,4.9822,0.7221,210.41,82.73
0.3462,0.7051,0.9938,5.92,5.99,random_forest,train,0.007165,11.18,,,,,,,,,,
,,,,,random_forest,validation,0.009287,11.18,0.9049,1.6585,0.9795,15.11,14.0,,,,,
,,,,,random_forest,test,0.010127,11.18,,,,,,0.9443,1.9859,0.9559,19.78,17.48
0.4014,0.7751,0.9925,8.27,9.43,extra_trees,train,0.007573,15.386,,,,,,,,,,
,,,,,extra_trees,validation,0.009147,15.386,0.8321,1.6028,0.9808,14.89,13.82,,,,,
,,,,,extra_trees,test,0.01029,15.386,,,,,,0.7955,1.6236,0.9705,18.18,16.07
0.3496,0.5379,0.9964,10.13,15.02,hist_gradient_boosting,train,0.030794,333.937,,,,,,,,,,
,,,,,hist_gradient_boosting,validation,0.021829,333.937,0.9998,1.7119,0.9781,18.35,19.51,,,,,
,,,,,hist_gradient_boosting,test,0.023892,333.937,,,,,,1.1076,2.0161,0.9545,25.47,26.58
0.3472,0.5595,0.9961,7.69,9.39,xgboost_tuned,train,0.01068,314.051,,,,,,,,,,
,,,,,xgboost_tuned,validation,0.009858,314.051,0.8976,1.6425,0.9799,19.26,17.07,,,,,
,,,,,xgboost_tuned,test,0.009865,314.051,,,,,,0.7817,1.3534,0.9795,23.38,20.32
0.2903,0.4546,0.9974,9.0,13.04,lightgbm_tuned,train,0.006281,758.376,,,,,,,,,,
,,,,,lightgbm_tuned,validation,0.007341,758.376,1.0184,1.6952,0.9786,21.76,20.65,,,,,
,,,,,lightgbm_tuned,test,0.007474,758.376,,,,,,1.0035,1.8711,0.9608,29.0,25.01
