model,validation_MAE,validation_RMSE,validation_R2,validation_MAPE,train_time,test_MAE,test_RMSE,test_R2,test_MAPE,inference_time_ms_per_sample,train_MAE
extra_trees,0.8272,1.5872,0.9812,14.92,9.633,0.7945,1.6254,0.9704,18.33,0.006496,0.402
random_forest,0.8982,1.6428,0.9799,15.12,7.565,0.9424,1.9807,0.9561,19.64,0.008268,0.3464
xgboost_tuned,0.9186,1.6893,0.9787,19.4,187.908,0.7811,1.3426,0.9798,23.5,0.005381,0.3487
hist_gradient_boosting,0.9864,1.7038,0.9783,17.95,186.859,1.0754,1.9359,0.958,24.65,0.009336,0.3473
lightgbm_tuned,1.0184,1.6952,0.9786,21.76,112.129,1.0036,1.8711,0.9608,29.02,0.00817,0.2903
ridge,3.974,6.2315,0.7104,172.41,0.455,3.0775,4.8105,0.741,198.6,0.002104,2.655
linear_regression,3.9743,6.2306,0.7104,172.35,0.658,3.079,4.81,0.741,198.67,0.001941,2.6559
lasso,4.0708,6.4697,0.6878,176.28,13.266,3.105,4.9577,0.7249,206.09,0.001925,2.6288
elasticnet,4.1042,6.5113,0.6838,181.07,18.464,3.1316,4.9822,0.7221,210.41,0.00199,2.6427
median_baseline,7.1371,12.624,-0.1887,224.29,0.385,5.4282,9.8751,-0.0916,270.86,0.00191,5.7984
mean_baseline,7.4605,11.6934,-0.0199,431.07,0.399,6.5733,9.4668,-0.0032,541.09,0.002044,6.3133
