breakdown,value,n,mean_true,mean_pred,MAE,RMSE
hour,0,8836,65.06,67.17,9.4,21.8
hour,1,8836,47.39,49.3,6.88,15.25
hour,2,8836,36.21,37.63,5.4,12.57
hour,3,8836,29.59,30.76,4.51,9.32
hour,4,8836,34.33,35.18,5.18,11.48
hour,5,8836,66.07,67.54,10.15,23.05
hour,6,8836,137.36,140.2,20.17,47.67
hour,7,8836,237.61,244.38,34.45,91.68
hour,8,8836,302.8,306.39,42.18,111.25
hour,9,11045,248.79,256.09,34.59,93.5
hour,10,11045,226.45,234.12,30.59,72.65
hour,11,11045,227.55,233.96,29.22,70.07
hour,12,11045,246.32,250.57,31.55,79.54
hour,13,11045,234.25,239.94,28.75,68.11
hour,14,11045,223.51,232.64,28.64,67.29
hour,15,11045,234.69,238.85,30.08,75.25
hour,16,11045,281.92,288.61,35.55,94.63
hour,17,11045,306.43,310.04,38.79,105.12
hour,18,11045,275.1,279.69,33.36,90.02
hour,19,11045,214.51,219.7,27.78,79.35
hour,20,11045,165.74,170.23,21.9,54.68
hour,21,11045,137.92,141.7,18.24,45.72
hour,22,11045,115.88,119.24,15.43,36.74
hour,23,11045,82.28,85.27,10.84,24.36
road_type,motorway,1110,1939.66,1988.06,257.58,375.6
road_type,motorway_link,666,608.82,629.81,82.05,117.24
road_type,primary,1776,1111.29,1141.51,155.19,224.3
road_type,primary_link,1110,391.13,396.98,49.4,70.32
road_type,residential,10434,157.93,162.63,20.72,28.74
road_type,secondary,4662,825.41,847.99,106.96,154.9
road_type,secondary_link,4329,337.55,345.01,44.29,63.83
road_type,service,150072,56.01,57.68,7.52,10.7
road_type,tertiary,6438,424.16,432.05,54.59,77.45
road_type,tertiary_link,5217,256.47,260.67,32.24,45.61
road_type,trunk,3219,1969.58,2018.17,279.05,411.24
road_type,trunk_link,3108,483.73,497.53,62.44,89.66
road_type,unclassified,53058,222.2,226.61,28.11,39.69
road_hierarchy,HIGH,8103,1283.72,1316.67,176.83,301.2
road_hierarchy,LOW,225219,115.05,117.74,14.9,26.56
road_hierarchy,MEDIUM,11877,649.75,666.4,85.95,137.44
traffic_range,low,61888,23.23,25.5,4.1,5.62
traffic_range,mid_low,62151,59.76,64.56,8.28,10.56
traffic_range,mid_high,60025,108.98,110.67,14.49,19.7
traffic_range,high,61135,528.94,537.64,68.23,133.29
capacity_quartile,cap_low,106893,55.24,56.91,7.41,10.51
capacity_quartile,cap_mid,42735,57.85,59.51,7.76,11.15
capacity_quartile,cap_high,35076,217.46,222.01,27.83,40.66
capacity_quartile,cap_max,60495,463.28,474.22,61.31,131.32
