feature,gain_importance,split_count
lane_is_peak_num,13038641152.0,3611.0
lane_count,3038599680.0,4198.0
speed_is_peak_num,2388210176.0,7115.0
lane_speed_product,1679336320.0,2231.0
highway,1235390464.0,11101.0
speed_limit_kmh,986480256.0,10205.0
road_length_log,835130368.0,15669.0
road_length_m,761077696.0,76763.0
node_degree,744619520.0,31952.0
speed_length_product,699857024.0,37670.0
lane_length_product,696649920.0,33004.0
is_oneway,689571904.0,9997.0
connected_road_count,649115648.0,30566.0
connected_road_log,636665408.0,5772.0
node_degree_log,588242880.0,6233.0
hour_cos,564622208.0,32030.0
is_weekend,406296832.0,50797.0
is_peak_hour,264166128.0,10961.0
day_of_week,169066320.0,37559.0
hour,127893104.0,93018.0
is_tunnel,109685352.0,118.0
is_bridge,105678800.0,169.0
roadlen_hour,104056680.0,43255.0
hour_sin,101056528.0,24213.0
evening_peak,45731564.0,737.0
morning_peak,44393464.0,1991.0
dow_cos,22289076.0,12982.0
dow_sin,21797090.0,17067.0
dow_hour,21108430.0,19626.0
month,3883900.75,34094.0
